departement.type,departement.value,code_insee.type,code_insee.value,communePopulation.datatype,communePopulation.type,communePopulation.value,code_commune.type,code_commune.value,departementLabel.xml:lang,departementLabel.type,departementLabel.value,communeLabel.xml:lang,communeLabel.type,communeLabel.value,regionLabel.xml:lang,regionLabel.type,regionLabel.value
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,29987,literal,77176,fr,literal,Seine-et-Marne,fr,literal,Savigny-le-Temple,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,111240,literal,93100,fr,literal,Seine-Saint-Denis,fr,literal,Montreuil,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,32405,literal,95300,fr,literal,Val-d'Oise,fr,literal,Pontoise,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,88948,literal,93300,fr,literal,Seine-Saint-Denis,fr,literal,Aubervilliers,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,86534,literal,92700,fr,literal,Hauts-de-Seine,fr,literal,Colombes,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,59196,literal,95200,fr,literal,Val-d'Oise,fr,literal,Sarcelles,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3334,literal,2B,http://www.w3.org/2001/XMLSchema#decimal,literal,48503,literal,20600,fr,literal,Haute-Corse,fr,literal,Bastia,fr,literal,Corse
uri,http://www.wikidata.org/entity/Q12549,literal,35,http://www.w3.org/2001/XMLSchema#decimal,literal,46803,literal,35400,fr,literal,Ille-et-Vilaine,fr,literal,Saint-Malo,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,30525,literal,06500,fr,literal,Alpes-Maritimes,fr,literal,Menton,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,28841,literal,92270,fr,literal,Hauts-de-Seine,fr,literal,Bois-Colombes,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,45818,literal,92360,fr,literal,Hauts-de-Seine,fr,literal,Meudon,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,59846,literal,93500,fr,literal,Seine-Saint-Denis,fr,literal,Pantin,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,46024,literal,93110,fr,literal,Seine-Saint-Denis,fr,literal,Rosny-sous-Bois,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,50697,literal,93400,fr,literal,Seine-Saint-Denis,fr,literal,Saint-Ouen-sur-Seine,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,111038,literal,95100,fr,literal,Val-d'Oise,fr,literal,Argenteuil,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,65911,literal,95000,fr,literal,Val-d'Oise,fr,literal,Cergy,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12642,literal,56,http://www.w3.org/2001/XMLSchema#decimal,literal,57246,literal,56100,fr,literal,Morbihan,fr,literal,Lorient,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,28602,literal,91210,fr,literal,Essonne,fr,literal,Draveil,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,31068,literal,95190,fr,literal,Val-d'Oise,fr,literal,Goussainville,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12574,literal,45,http://www.w3.org/2001/XMLSchema#decimal,literal,116269,literal,45100,fr,literal,Loiret,fr,literal,Orléans,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,49311,literal,92150,fr,literal,Hauts-de-Seine,fr,literal,Suresnes,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,78317,literal,92500,fr,literal,Hauts-de-Seine,fr,literal,Rueil-Malmaison,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,30012,literal,92210,fr,literal,Hauts-de-Seine,fr,literal,Saint-Cloud,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,26106,literal,95500,fr,literal,Val-d'Oise,fr,literal,Gonesse,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,54363,literal,93000,fr,literal,Seine-Saint-Denis,fr,literal,Bobigny,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,37394,literal,95130,fr,literal,Val-d'Oise,fr,literal,Franconville,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,342669,literal,06300,fr,literal,Alpes-Maritimes,fr,literal,Nice,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,81558,literal,92400,fr,literal,Hauts-de-Seine,fr,literal,Courbevoie,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,53641,literal,91000,fr,literal,Essonne,fr,literal,Évry,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,36461,literal,93290,fr,literal,Seine-Saint-Denis,fr,literal,Tremblay-en-France,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3334,literal,2B,http://www.w3.org/2001/XMLSchema#decimal,literal,48503,literal,20200,fr,literal,Haute-Corse,fr,literal,Bastia,fr,literal,Corse
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,27846,literal,92170,fr,literal,Hauts-de-Seine,fr,literal,Vanves,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,26872,literal,95150,fr,literal,Val-d'Oise,fr,literal,Taverny,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,30087,literal,93230,fr,literal,Seine-Saint-Denis,fr,literal,Romainville,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,121583,literal,92100,fr,literal,Hauts-de-Seine,fr,literal,Boulogne-Billancourt,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,40844,literal,77000,fr,literal,Seine-et-Marne,fr,literal,Melun,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12564,literal,41,http://www.w3.org/2001/XMLSchema#decimal,literal,45898,literal,41000,fr,literal,Loir-et-Cher,fr,literal,Blois,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,74545,literal,06150,fr,literal,Alpes-Maritimes,fr,literal,Cannes,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,55750,literal,77100,fr,literal,Seine-et-Marne,fr,literal,Meaux,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,28201,literal,91350,fr,literal,Essonne,fr,literal,Grigny,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12553,literal,36,http://www.w3.org/2001/XMLSchema#decimal,literal,43122,literal,36000,fr,literal,Indre,fr,literal,Châteauroux,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,25330,literal,91800,fr,literal,Essonne,fr,literal,Brunoy,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,30865,literal,91170,fr,literal,Essonne,fr,literal,Viry-Châtillon,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,342669,literal,06200,fr,literal,Alpes-Maritimes,fr,literal,Nice,fr,literal,Provence-Alpes-Côte d'Azur
